,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
57,https://www.traders.co.jp/stocks/62_3719/,ジェクシード,3719,174,393.02,4.59,3904000000,23000000,0.8416,164.0,-0.05747126436781613,215.0,0.23563218390804597
58,https://www.traders.co.jp/stocks/63_3727/,アプリックス,3727,142,39.34,1.53,3146000000,22000000,0.7345999999999999,133.0,-0.06338028169014087,142.0,0.0
59,https://www.traders.co.jp/stocks/62_3776/,ブロードバンドタワー,3776,176,35.23,1.14,10631000000,61000000,0.38880000000000003,182.0,0.03409090909090917,173.0,-0.017045454545454586
60,https://www.traders.co.jp/stocks/63_3777/,ＦＨＴホールディングス,3777,26,113.64,3.41,5706000000,228000000,0.9231,21.0,-0.1923076923076923,25.0,-0.038461538461538436
61,https://www.traders.co.jp/stocks/62_3779/,ジェイ・エスコムホールディングス,3779,103,,2.44,1079000000,11000000,0.7265999999999999,102.0,-0.009708737864077666,102.0,-0.009708737864077666
62,https://www.traders.co.jp/stocks/63_3782/,ディー・ディー・エス,3782,70,,1.9,3429000000,48000000,0.7589,105.0,0.5,71.0,0.014285714285714235
63,https://www.traders.co.jp/stocks/63_3807/,フィスコ,3807,151,29.7,1.78,6749000000,46000000,0.6716,162.0,0.07284768211920523,151.0,0.0
64,https://www.traders.co.jp/stocks/62_3823/,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,3823,140,4666.67,4.64,4855000000,35000000,0.6275,154.0,0.10000000000000009,142.0,0.014285714285714235
65,https://www.traders.co.jp/stocks/62_3840/,パス,3840,61,,6.31,2892000000,47000000,0.3604,62.0,0.016393442622950838,60.0,-0.016393442622950838
66,https://www.traders.co.jp/stocks/62_3845/,アイフリークモバイル,3845,137,13.45,3.54,2569000000,18000000,0.6175999999999999,145.0,0.058394160583941535,140.0,0.021897810218978186
67,https://www.traders.co.jp/stocks/61_3940/,ノムラシステムコーポレーション,3940,124,51.05,2.14,5662000000,46000000,,121.0,-0.024193548387096753,125.0,0.008064516129032251
68,https://www.traders.co.jp/stocks/62_4355/,ロングライフホールディング,4355,158,32.02,9.1,1735000000,11000000,0.1387,205.0,0.2974683544303798,185.0,0.1708860759493671
69,https://www.traders.co.jp/stocks/63_4563/,アンジェス,4563,155,,0.74,25563000000,153000000,0.848,316.0,1.0387096774193547,226.0,0.4580645161290322
70,https://www.traders.co.jp/stocks/63_4564/,オンコセラピー・サイエンス,4564,63,,9.02,11559000000,193000000,0.7065,65.0,0.031746031746031855,62.0,-0.015873015873015928
